date,code,name,p_close,open,high,low,close,volume,売買代金,値幅制限,時価総額_百万円,発行済株式数,配当利回り,配当,per,pbr,eps,bps,最低購入代金,単元株数,年初来高値,年初来安値,信用買残,信用買残前週比,信用売残,信用売残前週比,貸借倍率,get
05/14,9405,朝日放送グループホールディングス(株),690,697,701,694,694,"18,300","12,758",590～790,"29,032","41,833,000",1.59,11.00,17.79,0.43,39.00,"1,609.44","69,400",100,778,678,"27,800","-4,300","2,100",-500,13.24,2021/05/16 15:57:28
05/14,9409,(株)テレビ朝日ホールディングス,"1,933","1,926","1,930","1,907","1,909","166,900","319,899","1,533～2,333","207,182","108,529,000",2.10,40.00,14.91,0.52,128.07,"3,693.89","190,900",100,"2,364","1,635","11,000","-3,100","205,400","-9,400",0.05,2021/05/16 15:57:24
05/14,9412,(株)スカパーＪＳＡＴホールディングス,434,436,437,433,433,"700,000","304,579",354～514,"128,675","297,170,975",4.16,18.00,9.90,0.55,43.75,788.27,"43,300",100,519,433,"316,500","+41,600","117,800","+5,300",2.69,2021/05/16 15:57:23
05/14,9413,(株)テレビ東京ホールディングス,"2,175","2,202","2,226","2,160","2,201","44,200","97,250","1,675～2,675","62,243","28,279,500",1.82,40.00,20.46,0.72,107.56,"3,065.87","220,100",100,"2,629",更新,"25,200","+4,000","2,500",-100,10.08,2021/05/16 15:57:21
05/14,9414,日本ＢＳ放送(株),"1,083","1,091","1,095","1,087","1,087","10,700","11,657","783～1,383","19,353","17,804,032",1.84,20.00,18.61,1.00,58.41,"1,086.62","108,700",100,"1,194","1,070","20,100","-1,600","8,700",+500,2.31,2021/05/16 15:57:20
05/14,9416,(株)ビジョン,968,"1,013","1,013",928,963,"624,400","601,209","818～1,118","47,219","49,032,900",0.00,0.00,(,(,),),),用語,),),"948,300","+20,600","63,500","-10,300",14.93,2021/05/16 15:57:16
05/14,9417,(株)スマートバリュー,818,819,833,819,826,"8,700","7,179",668～968,"8,479","10,264,800",0.97,8.00,(,(,2021/06,2020/06,05/14,年初来高値,21/03/12,21/05/13,"395,100","-12,800","1,800",0,219.50,2021/05/16 15:56:58
05/14,9418,(株)ＵＳＥＮ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,"1,995","2,025","2,033","1,969","1,994","302,000","599,189","1,595～2,395","119,791","60,075,611",0.43,8.50,15.97,4.04,124.85,493.45,"199,400",100,"2,580","1,340","2,480,500","-24,500","18,300","-1,200",135.55,2021/05/16 15:56:38
05/14,9419,(株)ワイヤレスゲート,411,419,424,412,417,"149,000","62,083",331～491,"4,495","10,779,774",0.00,0.00,81.29,5.35,5.13,77.94,"41,700",100,699,411,"740,200","-12,800","82,100","-40,300",9.02,2021/05/16 15:59:22
05/14,9421,(株)エヌジェイホールディングス,977,977,986,977,978,"1,300","1,273","827～1,127","5,233","5,350,400",1.02,10.00,(,(,2021/06,2020/06,05/14,年初来高値,21/01/08,21/03/09,"396,200",-300,0,0,0.00,2021/05/16 15:59:21
