,Code,StockName,Date,Open,High,Low,Close,Volume,AdjClose
1781,6058,(株)ベクトル,2014-02-26,分割: 1株 -> 3株,,,,,
1782,6058,(株)ベクトル,2016-08-29,分割: 1株 -> 3株,,,,,
1783,6059,(株)ウチヤマホールディングス,2013-12-26,分割: 1株 -> 4株,,,,,
1784,6061,(株)ユニバーサル園芸社,2015-06-26,分割: 1株 -> 2株,,,,,
1785,6061,(株)ユニバーサル園芸社,2016-12-28,分割: 1株 -> 2株,,,,,
1786,6062,(株)チャーム・ケア・コーポレーション,2016-12-28,分割: 1株 -> 2株,,,,,
1787,6062,(株)チャーム・ケア・コーポレーション,2017-05-29,分割: 1株 -> 2株,,,,,
1788,6063,日本エマージェンシーアシスタンス(株),2015-08-27,分割: 1株 -> 2株,,,,,
1789,6064,(株)アクトコール,2016-05-27,分割: 1株 -> 3株,,,,,
1790,6064,(株)アクトコール,2016-11-28,分割: 1株 -> 2株,,,,,
1791,6067,(株)メディアフラッグ,2012-12-26,分割: 1株 -> 3株,,,,,
1792,6069,トレンダーズ(株),2012-12-26,分割: 1株 -> 2株,,,,,
1793,6070,キャリアリンク(株),2016-05-27,分割: 1株 -> 2株,,,,,
1794,6071,(株)ＩＢＪ,2014-03-27,分割: 1株 -> 3株,,,,,
1795,6071,(株)ＩＢＪ,2014-12-26,分割: 1株 -> 2株,,,,,
1796,6071,(株)ＩＢＪ,2015-12-28,分割: 1株 -> 3株,,,,,
1797,6072,地盤ネットホールディングス(株),2013-03-27,分割: 1株 -> 2株,,,,,
1798,6072,地盤ネットホールディングス(株),2013-11-27,分割: 1株 -> 2株,,,,,
1799,6074,(株)ジェイエスエス,2017-03-29,分割: 1株 -> 2株,,,,,
1800,6077,(株)Ｎ・フィールド,2014-04-25,分割: 1株 -> 5株,,,,,
1801,6077,(株)Ｎ・フィールド,2014-10-21,分割: 1株 -> 2株,,,,,
1802,6078,(株)バリューＨＲ,2014-08-27,分割: 1株 -> 2株,,,,,
1803,6080,Ｍ＆Ａキャピタルパートナーズ(株),2014-04-25,分割: 1株 -> 3株,,,,,
1804,6080,Ｍ＆Ａキャピタルパートナーズ(株),2015-08-27,分割: 1株 -> 2株,,,,,
1805,6081,アライドアーキテクツ(株),2017-06-28,分割: 1株 -> 3株,,,,,
1806,6082,(株)ライドオンエクスプレスホールディングス,2015-03-27,分割: 1株 -> 2株,,,,,
1807,6087,(株)アビスト,2014-12-26,分割: 1株 -> 2株,,,,,
1808,6088,(株)シグマクシス,2014-03-27,分割: 1株 -> 4株,,,,,
1809,6089,(株)ウィルグループ,2014-08-27,分割: 1株 -> 2株,,,,,
