,Code,StockName,Date,Open,High,Low,Close,Volume,AdjClose
340,2412,(株)ベネフィット・ワン,2006-03-28,分割: 1株 -> 4株,,,,,
341,2412,(株)ベネフィット・ワン,2013-09-26,分割: 1株 -> 200株,,,,,
342,2412,(株)ベネフィット・ワン,2017-09-27,分割: 1株 -> 2株,,,,,
343,2413,エムスリー(株),2005-03-28,分割: 1株 -> 3株,,,,,
344,2413,エムスリー(株),2005-09-27,分割: 1株 -> 2株,,,,,
345,2413,エムスリー(株),2011-09-28,分割: 1株 -> 2株,,,,,
346,2413,エムスリー(株),2012-09-26,分割: 1株 -> 3株,,,,,
347,2413,エムスリー(株),2014-03-27,分割: 1株 -> 200株,,,,,
348,2415,ヒューマンホールディングス(株),2005-07-26,分割: 1株 -> 2株,,,,,
349,2415,ヒューマンホールディングス(株),2013-09-26,分割: 1株 -> 100株,,,,,
350,2418,(株)ツカダ・グローバルホールディング,2005-12-27,分割: 1株 -> 3株,,,,,
351,2418,(株)ツカダ・グローバルホールディング,2006-12-26,分割: 1株 -> 2株,,,,,
352,2418,(株)ツカダ・グローバルホールディング,2010-09-28,分割: 1株 -> 3株,,,,,
353,2418,(株)ツカダ・グローバルホールディング,2013-06-26,分割: 1株 -> 200株,,,,,
354,2424,(株)ブラス,2016-10-27,分割: 1株 -> 2株,,,,,
355,2424,(株)ブラス,2016-12-28,分割: 1株 -> 2株,,,,,
356,2425,(株)ケアサービス,2013-06-26,分割: 1株 -> 200株,,,,,
357,2425,(株)ケアサービス,2017-09-27,分割: 1株 -> 2株,,,,,
358,2427,(株)アウトソーシング,2017-09-27,分割: 1株 -> 5株,,,,,
359,2428,ウェルネット(株),2006-06-27,分割: 1株 -> 2株,,,,,
360,2428,ウェルネット(株),2012-06-27,分割: 1株 -> 100株,,,,,
361,2428,ウェルネット(株),2016-06-28,分割: 1株 -> 2株,,,,,
362,2429,(株)ワールドホールディングス,2005-04-25,分割: 1株 -> 3株,,,,,
363,2429,(株)ワールドホールディングス,2009-12-28,分割: 1株 -> 300.03株,,,,,
364,2432,(株)ディー・エヌ・エー,2005-09-27,分割: 1株 -> 3株,,,,,
365,2432,(株)ディー・エヌ・エー,2010-05-27,分割: 1株 -> 300.03株,,,,,
366,2433,(株)博報堂ＤＹホールディングス,2013-09-26,分割: 1株 -> 10株,,,,,
367,2435,(株)シダー,2013-12-26,分割: 1株 -> 2株,,,,,
368,2437,シンワアートオークション(株),2005-05-26,分割: 1株 -> 3株,,,,,
369,2437,シンワアートオークション(株),2006-08-28,分割: 1株 -> 3株,,,,,
370,2437,シンワアートオークション(株),2013-11-27,分割: 1株 -> 100株,,,,,
371,2438,(株)アスカネット,2005-08-26,分割: 1株 -> 4株,,,,,
372,2438,(株)アスカネット,2012-04-25,分割: 1株 -> 100株,,,,,
373,2438,(株)アスカネット,2014-10-29,分割: 1株 -> 4株,,,,,
374,2440,(株)ぐるなび,2011-03-29,分割: 1株 -> 100株,,,,,
375,2440,(株)ぐるなび,2014-03-27,分割: 1株 -> 2株,,,,,
376,2445,エスアールジータカミヤ(株),2013-03-27,分割: 1株 -> 2株,,,,,
